Full Name,Gender,Date of Birth,University_Name,Current Academic Year,Cumulative Grade Point Average (GPA),Preferred Learning Style,Average Weekly Study Hours,Attendance Regularity,Parental Education Level,Monthly Household Income,Participation in Extracurricular Activities,Social Media Spending Time,Sleeping Hours
Jose Hicks,Female,1/10/2007,University of Ruhuna,2nd,2.17,Visual,26.17,6,Ph.D.,Low,Yes,0.71,4.28
Kelly Mccullough,Female,9/4/1921,Eastern University,2nd,2.79,Visual,10.11,6,Master's,High,No,3.77,6.96
Katie Mckenzie,Male,9/13/1910,University of Jaffna,4th,2.39,Kinesthetic,9.02,8,High School,Low,Yes,2.92,8.41
Glenn Hamilton,Female,7/10/1924,University of Jaffna,4th,2.49,Kinesthetic,5.54,4,Ph.D.,High,Yes,0.78,7.23
Matthew Williams,Male,10/11/2004,University of Colombo,1st,3.13,Kinesthetic,12.31,8,Ph.D.,Medium,Yes,1.11,9.09
Tracy Ellis,Female,10/11/1913,University of Moratuwa,4th,3.76,Auditory,9.45,9,Bachelor's,Low,No,4.58,7.18
Dakota Garcia,Female,11/22/2013,University of Moratuwa,2nd,3.94,Visual,15.5,6,High School,High,Yes,1.27,8.53
Riley Smith,Male,9/29/1941,University of Moratuwa,4th,2.8,Auditory,15.7,2,Other,High,Yes,2.81,4.44
Teresa Lopez,Male,9/29/1930,Sabaragamuwa University,3rd,2.26,Visual,9.3,4,Other,High,Yes,0.03,9.28
Vincent Ward,Male,11/17/1983,University of Peradeniya,4th,3.01,Auditory,29.32,10,Other,High,No,0.56,9.31
Alexa Ewing,Female,1/6/1936,University of Peradeniya,1st,2.9,Kinesthetic,11.01,4,High School,Low,Yes,0.09,9.18
Lawrence Hebert,Male,6/17/1973,University of Jaffna,1st,3.52,Auditory,24.51,2,Ph.D.,Medium,Yes,1.85,4.91
Emily Short,Male,7/3/1996,University of Moratuwa,2nd,3.88,Kinesthetic,19.81,2,Ph.D.,High,No,1.54,4.06
Jonathan Cox,Female,5/6/1985,Rajarata University,3rd,3.44,Auditory,12.63,7,Master's,High,No,3.28,5.3
Kevin Casey,Male,9/16/1944,University of Jaffna,1st,3,Kinesthetic,7.06,6,High School,Medium,Yes,4.78,9.04
Patricia Smith,Female,5/11/1981,Eastern University,1st,2.07,Kinesthetic,26.51,4,Master's,High,No,2.65,4.55
Heather Clark,Female,10/31/1980,University of Moratuwa,3rd,2.03,Visual,9.54,2,Ph.D.,Medium,No,1.95,10
Christina Lopez,Male,4/19/1910,University of Jaffna,2nd,2.3,Auditory,17.58,3,Master's,Low,Yes,0.35,6.91
Matthew Carr,Male,5/8/1961,University of Moratuwa,4th,3.61,Auditory,21.68,7,Master's,Medium,Yes,1.13,4.68
Laurie Shepard,Male,4/15/1981,Sabaragamuwa University,1st,3.95,Kinesthetic,28.09,5,Bachelor's,Low,Yes,2.27,6.73
Susan Brown,Female,2/27/1952,University of Colombo,2nd,3.57,Kinesthetic,19.92,6,Master's,Medium,Yes,3.92,6.78
Amanda Holland,Female,7/3/1926,University of Kelaniya,3rd,3.19,Auditory,10.03,7,High School,Low,Yes,0.85,8.07
Kathryn Barnes,Male,10/4/2013,University of Moratuwa,1st,2.97,Auditory,23.77,10,High School,High,Yes,1.95,8.91
Thomas Howe,Male,2/25/1909,Eastern University,4th,3.39,Visual,22.18,7,Bachelor's,Low,No,2.5,9.21
Michelle Morgan,Female,4/6/2008,Eastern University,1st,3.04,Auditory,9.42,8,Ph.D.,Low,No,3.21,8.07
William Sandoval,Female,3/26/1927,University of Colombo,3rd,2.92,Visual,12.8,6,Ph.D.,High,No,2.17,7.22
William Lynch,Male,11/23/2022,University of Ruhuna,4th,3.42,Visual,19.91,8,High School,Low,Yes,3.7,9.86
Steven Miller,Female,7/13/2013,Eastern University,3rd,2.14,Auditory,21.36,1,Ph.D.,High,Yes,5,8.6
Caitlin Rodriguez,Female,7/18/1918,University of Jaffna,3rd,3.14,Visual,8.84,6,High School,Low,Yes,3.95,5.14
Miguel Franklin,Female,12/9/1996,Eastern University,1st,3.43,Visual,26.95,8,Ph.D.,High,Yes,0.97,7.27
Christopher Bradshaw,Male,5/11/1985,University of Kelaniya,1st,3.83,Kinesthetic,18.98,2,Bachelor's,Low,No,1.69,7.35
Melissa Hess,Male,3/10/2008,University of Colombo,4th,3.94,Visual,10.77,8,Ph.D.,Low,No,3.44,4.96
Ashley Ayala,Female,6/22/1965,University of Jaffna,1st,3.37,Auditory,13.66,2,Ph.D.,Medium,Yes,4.55,4.83
Nicole Olson,Female,2/5/1944,University of Moratuwa,4th,3.14,Visual,20.71,6,Master's,High,No,4.16,6.1
Ariel Duran,Male,8/16/1999,University of Colombo,3rd,3.65,Auditory,9.03,10,Bachelor's,High,Yes,0.12,8.69
Richard Reid,Male,4/25/1993,University of Kelaniya,3rd,3.13,Kinesthetic,23.59,2,Other,Medium,Yes,0.52,5.64
Kimberly Jones,Female,2/11/1970,University of Peradeniya,1st,2.37,Kinesthetic,12.89,9,Other,Low,No,2.56,8.16
Adrian Rowe,Male,3/14/2022,University of Kelaniya,4th,3.85,Auditory,24.58,4,Master's,Medium,Yes,2.04,5.97
Bryce Cruz,Male,2/24/1997,Rajarata University,1st,3.35,Visual,7.13,4,Master's,Low,No,1.76,4.34
Stacey Edwards,Female,7/24/1965,Rajarata University,2nd,2.39,Visual,24.59,4,Bachelor's,High,No,4.23,5.99
Angela Myers,Male,4/15/2015,University of Peradeniya,3rd,3.28,Auditory,16.57,4,High School,Low,No,0.86,4.05
Victoria Williams,Male,7/27/1966,Sabaragamuwa University,2nd,2.06,Visual,19.54,6,Ph.D.,High,No,1.52,8.32
Thomas Johnson,Female,9/10/2005,Eastern University,3rd,3.56,Visual,21.13,7,High School,Medium,No,0.67,7.43
Jennifer Castro,Female,9/8/1913,University of Ruhuna,4th,3.7,Visual,9.61,3,High School,Low,No,1.01,6.22
Jennifer Mcclain,Male,12/18/1922,University of Ruhuna,1st,2.99,Kinesthetic,16.71,6,Other,Low,Yes,1.31,4.64
Victoria Brown,Male,8/5/1932,University of Kelaniya,1st,3.04,Auditory,9.93,6,Ph.D.,Medium,No,2.06,9.31
Sherry Thomas,Female,10/26/1934,University of Peradeniya,3rd,2.08,Auditory,10.85,1,Other,Medium,No,1.47,6.65
Bethany Clark,Female,3/7/1924,University of Peradeniya,3rd,3.7,Kinesthetic,15.38,2,Other,Medium,Yes,0.77,6.24
Sandra Ray,Female,9/16/1912,University of Moratuwa,3rd,2.97,Kinesthetic,7.68,4,High School,High,Yes,0.76,9.38
David Powell,Male,10/22/1972,University of Colombo,2nd,3.36,Visual,10.56,6,Master's,Low,No,4.58,5.58
Mark Williams,Male,4/30/1976,University of Jaffna,3rd,3.07,Auditory,13.13,9,Bachelor's,High,Yes,1.97,8.75
Andrea Smith,Male,3/3/1992,Rajarata University,1st,3.2,Kinesthetic,10.5,5,High School,Low,No,4.95,9.17
Raymond Wall,Male,3/20/1979,University of Ruhuna,2nd,2.37,Kinesthetic,26.05,2,Other,Medium,Yes,2.87,6.8
Teresa Wilson,Female,6/16/1960,Eastern University,4th,2.03,Auditory,8.46,1,Master's,High,No,4.79,5.15
Patrick Morris,Male,1/31/1960,University of Jaffna,2nd,3.32,Auditory,6.22,4,Other,Medium,Yes,3.78,5.62
Kenneth Brown,Female,7/10/1909,University of Kelaniya,1st,3.46,Visual,6.71,5,Bachelor's,Medium,Yes,1.75,6.9
David Rivera,Male,5/25/1979,University of Moratuwa,1st,3.02,Kinesthetic,7.22,2,Other,Medium,Yes,0.4,7.79
Mr. Bradley Stewart,Female,8/28/1981,University of Jaffna,3rd,2.47,Kinesthetic,20.97,2,Bachelor's,Low,No,1.03,9.63
Jamie Castillo,Female,6/23/1980,University of Moratuwa,1st,3.95,Kinesthetic,27.21,4,High School,High,Yes,1.14,5.08
Benjamin Robinson,Female,6/14/2019,University of Ruhuna,1st,2.49,Visual,27.95,8,High School,Low,Yes,1.48,7.81
Sandra Dixon,Male,6/22/1989,University of Ruhuna,2nd,2.14,Visual,11.11,4,Master's,High,Yes,1.36,6.07
Benjamin Moore,Female,5/3/1932,Eastern University,1st,2.03,Auditory,5.41,3,Master's,Low,No,4.69,8.95
Keith Beck,Female,9/22/1978,University of Peradeniya,2nd,3.81,Kinesthetic,10.31,1,Other,High,Yes,2.21,7.07
Krystal Bell,Male,2/24/1972,University of Kelaniya,3rd,2.38,Visual,18.16,3,Bachelor's,High,Yes,3.7,7.44
Monica Morales,Female,12/9/1985,Sabaragamuwa University,2nd,3.76,Kinesthetic,25.62,3,Bachelor's,Medium,No,3.73,4.86
Natasha Conway,Female,11/22/1976,Eastern University,1st,2.56,Visual,19.04,1,Other,Medium,Yes,1.16,9.06
Gregory Waters,Female,10/3/1995,University of Ruhuna,1st,3.01,Auditory,6.53,2,Master's,Low,Yes,3.53,7.15
James Rowland,Female,1/9/1961,University of Colombo,4th,2.38,Visual,25.62,8,Ph.D.,Low,No,2.84,7.82
Jose Wright,Male,8/25/1973,University of Peradeniya,3rd,3.22,Visual,20.74,4,Other,Low,No,2.04,6.88
Brian Graham,Female,4/8/2015,University of Colombo,1st,3.58,Auditory,9.16,9,Other,High,No,1.24,9.02
Kimberly Stone,Female,7/4/1938,Eastern University,3rd,2.3,Visual,8.41,3,Ph.D.,Low,No,2.75,9.72
Andrew Howard,Female,9/27/1984,University of Jaffna,2nd,3.93,Kinesthetic,20.64,3,Ph.D.,High,Yes,4.84,7.29
Catherine Adams,Female,6/30/1993,Sabaragamuwa University,2nd,2.76,Visual,23.66,7,High School,Low,Yes,0.6,4.86
Dr. Travis Smith,Male,2/24/2003,University of Moratuwa,2nd,3.55,Visual,23.95,1,Ph.D.,Low,Yes,4.82,8.98
Cynthia Pena,Female,5/25/1974,Eastern University,3rd,2.96,Kinesthetic,24.79,7,Ph.D.,Low,No,0.03,7.27
Stacy Vega,Male,11/24/2020,University of Moratuwa,3rd,3.75,Auditory,15.38,9,High School,Medium,Yes,1.3,7.39
Rachel Martin,Male,8/5/2019,University of Moratuwa,1st,3.85,Auditory,28.61,7,High School,Low,Yes,1.77,4.34
Parker Fox,Male,6/27/1967,University of Colombo,4th,2.82,Visual,28.74,9,Other,Low,No,3.11,5.22
Mrs. Janice Roberts DVM,Female,5/7/1960,University of Jaffna,1st,3.77,Visual,7.38,7,Master's,Medium,No,2.49,7.41
Dr. Michael Lutz,Male,11/14/1919,University of Moratuwa,4th,3.45,Visual,6.94,7,Ph.D.,Low,No,2.05,6.88
Vanessa Thompson,Female,1/2/1976,Sabaragamuwa University,1st,3.68,Auditory,16.07,4,High School,Medium,Yes,4.24,6.15
Kenneth Good,Female,12/22/1943,University of Colombo,2nd,2.29,Visual,20.97,1,High School,Medium,No,3.21,7.83
Sharon Fuller,Female,9/13/1987,University of Ruhuna,4th,3.29,Visual,13.31,8,High School,Medium,Yes,3.93,7.7
Jenna Richardson,Male,12/22/1990,University of Colombo,4th,3.47,Auditory,27.7,1,High School,High,No,0.29,9.28
Daniel Estes,Male,5/8/2008,Sabaragamuwa University,4th,2.04,Auditory,6.18,10,Other,Low,No,3.1,5.27
Sharon Dyer,Female,2/3/1994,University of Peradeniya,4th,2.61,Visual,13.7,10,Bachelor's,Medium,No,4.58,6.66
Cynthia Morgan,Female,10/13/2001,University of Colombo,1st,2.76,Visual,6.28,7,High School,High,Yes,0.15,7.26
Erica Thomas,Male,6/17/2005,University of Ruhuna,1st,3.47,Visual,19.73,5,Ph.D.,Medium,No,3.94,6.14
Krista Herrera,Female,6/1/2023,University of Moratuwa,4th,3.73,Auditory,19.42,9,Bachelor's,High,Yes,4.62,7.31
Ashley Weeks,Male,1/24/1946,Rajarata University,1st,3.66,Auditory,6.67,9,Ph.D.,Low,Yes,2.99,5.69
Michael Burke,Female,3/13/1976,Rajarata University,4th,2.58,Auditory,20.72,7,Other,High,Yes,1.74,5.64
Michelle Davis,Female,7/13/1972,Rajarata University,1st,3.75,Kinesthetic,16.54,4,Ph.D.,Medium,No,0.43,4.19
Daniel Price MD,Male,2/11/1974,University of Peradeniya,3rd,3.68,Visual,13.04,10,Ph.D.,Low,Yes,4.71,7.26
Jason Simon,Male,5/9/1985,University of Ruhuna,1st,3.65,Visual,5.7,10,Master's,Low,Yes,4.69,6.93
Tyler Munoz,Male,7/29/2016,Sabaragamuwa University,4th,3.5,Visual,25.09,9,Master's,Medium,Yes,4.66,9.18
Justin Miller,Male,1/5/1910,Eastern University,3rd,3.79,Kinesthetic,20.69,8,Ph.D.,Medium,Yes,0.43,4.57
Melissa Barnes,Female,11/13/1943,Rajarata University,1st,3.16,Kinesthetic,7.08,6,High School,Low,Yes,3.3,7.02
Michael Mcconnell,Female,7/21/1961,Eastern University,3rd,2.52,Auditory,22.34,7,Other,High,No,2.14,8.82
Janice Boyer,Female,11/5/1967,University of Peradeniya,1st,2.57,Visual,25.93,9,Master's,High,No,4.85,4.84
Anthony Bird,Male,2/2/2013,Eastern University,1st,2.01,Auditory,26.31,2,Master's,Medium,No,4.01,5.39
Lisa Hansen,Female,11/7/1965,University of Peradeniya,2nd,2.26,Kinesthetic,26.94,10,Ph.D.,Medium,Yes,0.89,8.14
Steven Farrell,Male,5/1/1935,Eastern University,2nd,3.99,Visual,5.58,3,Bachelor's,Medium,No,4.3,9.2
Mr. Michael Barber,Female,5/3/2007,University of Colombo,3rd,3.47,Kinesthetic,22.5,10,Other,High,Yes,2.28,8.37
Rachel Davis DVM,Male,8/7/1967,Rajarata University,1st,2.45,Kinesthetic,7.68,10,High School,Medium,No,2.78,7.67
Lauren Rivera,Female,11/15/1998,University of Jaffna,1st,3.6,Auditory,25.66,6,Bachelor's,High,Yes,3.15,8.86
Linda Davis,Female,7/12/1938,University of Kelaniya,3rd,2.44,Visual,23.14,10,Master's,High,No,2.03,7
Alicia Kramer,Female,7/5/2017,University of Peradeniya,3rd,2.91,Kinesthetic,13.59,2,High School,Low,Yes,1.29,8.27
Monica Davis,Female,6/15/1954,University of Moratuwa,1st,3.95,Kinesthetic,25.98,2,Bachelor's,High,No,2.74,8.03
Jenna Anderson,Female,9/23/1959,University of Kelaniya,4th,3.94,Kinesthetic,7.84,1,Other,Low,Yes,3.86,6.71
Terri Nielsen,Female,3/13/1963,Sabaragamuwa University,1st,3.73,Auditory,9.16,3,Ph.D.,High,Yes,1.33,8
Sharon Gonzalez,Male,4/15/1946,University of Peradeniya,3rd,3.7,Visual,17.59,10,Master's,High,Yes,2.41,8.44
Terry Garza,Female,11/21/1995,University of Peradeniya,2nd,2.57,Visual,24.43,9,High School,Medium,No,4.6,9.96
Carlos Perez,Female,9/26/1974,Eastern University,2nd,3.35,Auditory,28.32,5,Ph.D.,High,Yes,1.09,9.33
Eric Navarro III,Female,11/24/1977,University of Peradeniya,3rd,3.32,Auditory,6.5,10,Ph.D.,High,Yes,1,6.14
Steven Beck,Male,8/8/1977,Rajarata University,2nd,2.12,Auditory,18.03,4,Ph.D.,Medium,Yes,1.18,6.28
Catherine Harrell,Male,1/16/1942,University of Ruhuna,1st,2.25,Auditory,14.88,9,Bachelor's,Low,No,1.7,7.11
Joshua Castillo,Male,7/14/1947,University of Ruhuna,4th,3.82,Kinesthetic,25.05,4,Ph.D.,Medium,No,3.65,8.03
Robert Nelson,Male,6/20/1918,Sabaragamuwa University,2nd,2.92,Auditory,9.88,6,Bachelor's,Low,No,0.75,9.27
Melissa Phelps,Male,7/20/1952,University of Jaffna,2nd,3.84,Visual,6.37,1,Ph.D.,Medium,Yes,4.75,5
Rebecca Doyle,Female,4/25/1938,Rajarata University,3rd,3.32,Visual,17.13,10,Bachelor's,High,No,2.8,7.06
Charles Clark,Male,5/3/1948,Rajarata University,4th,3.22,Kinesthetic,18.94,4,Master's,Low,Yes,4.8,5.09
April Martinez,Female,5/12/1980,University of Colombo,1st,3.07,Visual,15.97,3,Other,High,Yes,4.77,4.05
Mr. Fernando Robinson,Male,5/9/1987,University of Ruhuna,3rd,3.73,Auditory,19.73,8,High School,High,No,3.38,6.39
Eugene Ibarra,Female,9/19/1994,University of Kelaniya,3rd,3.65,Auditory,12.11,6,Ph.D.,High,Yes,1.93,8.07
Matthew Gross,Female,8/2/1933,University of Moratuwa,2nd,3.56,Kinesthetic,28.86,4,Bachelor's,Medium,Yes,4.23,7.79
Chelsea Bailey,Female,2/16/1929,University of Peradeniya,2nd,3.59,Kinesthetic,17.32,3,Master's,Medium,Yes,4.34,9.43
Joshua Costa,Male,3/14/2020,University of Jaffna,3rd,2.81,Kinesthetic,27.34,10,Other,High,Yes,1.32,6.99
Juan Jones,Male,1/2/1962,University of Moratuwa,1st,3.54,Visual,7.69,7,Bachelor's,High,No,0.45,6.91
Troy Kerr,Female,1/30/1963,University of Moratuwa,1st,2.63,Auditory,7.33,10,High School,Medium,Yes,1.58,4.2
Samuel Baldwin,Female,7/11/1917,University of Colombo,2nd,2.45,Visual,11.9,5,Bachelor's,Medium,Yes,4.84,8.88
Julia Henderson,Male,8/5/1987,University of Jaffna,3rd,3.37,Visual,7.77,9,High School,Low,No,0.96,9.87
Kimberly Juarez,Male,11/25/1927,University of Jaffna,1st,2.67,Kinesthetic,8.06,7,Master's,Low,Yes,4.2,7.47
Barry Alexander,Male,12/13/1913,University of Colombo,3rd,3.25,Kinesthetic,14.54,4,High School,Medium,Yes,2.25,7.03
Jose Cooper,Female,1/2/1937,Rajarata University,1st,2.63,Auditory,18.45,3,High School,Low,Yes,4.87,9.45
Nancy Cruz,Female,12/19/2019,University of Colombo,2nd,3.88,Visual,24.84,1,High School,High,Yes,1.57,6.7
Michael Weaver,Female,6/16/1946,Rajarata University,4th,2.35,Kinesthetic,8.02,2,Other,Low,Yes,1.5,6.63
Andrew Jensen,Male,7/5/1914,University of Kelaniya,2nd,2.3,Kinesthetic,17.37,4,Other,Low,No,0.35,7.82
Laura Perry,Male,8/24/1985,Sabaragamuwa University,4th,2.97,Auditory,23.8,1,Other,Low,Yes,0.08,5.27
James Miller,Male,1/30/1928,Rajarata University,3rd,2.17,Auditory,6.61,7,High School,Low,Yes,4.5,7.23
Barbara Nunez,Female,12/2/1940,University of Moratuwa,2nd,3.71,Auditory,19.15,6,Bachelor's,Low,Yes,0.37,8.03
Carol Harris,Male,2/14/1963,Rajarata University,3rd,3.59,Auditory,18.89,4,Other,Low,No,2.91,8.32
Kyle Russell,Male,8/8/1970,Sabaragamuwa University,2nd,3.36,Visual,24.84,4,Other,Medium,Yes,1.92,5.56
Kimberly Fox,Male,1/9/1943,University of Peradeniya,4th,3.27,Kinesthetic,12.4,3,Other,Medium,Yes,4.75,6.54
Brandon Middleton,Female,3/2/2015,University of Colombo,2nd,2.1,Auditory,23.07,4,Bachelor's,High,Yes,1.15,5.39
Carlos Lee,Male,10/20/1995,University of Peradeniya,2nd,2.77,Kinesthetic,13.48,10,Master's,High,No,2.09,8.01
Margaret Reynolds,Male,8/8/1980,University of Colombo,4th,2.35,Visual,19.9,7,Other,Medium,No,1.6,4.85
Martin Baker,Male,8/9/1916,University of Kelaniya,3rd,2.37,Auditory,25.41,10,Ph.D.,Low,No,3.38,4.11
Margaret Morrison,Male,10/13/2002,University of Ruhuna,4th,2.54,Auditory,16.69,2,High School,Medium,No,2.27,9.32
Gregory Mack,Female,1/28/2004,University of Moratuwa,1st,3.3,Kinesthetic,26.9,2,Bachelor's,Medium,No,3.85,6.07
Matthew Villegas,Female,8/31/2001,University of Moratuwa,4th,2.46,Auditory,29.01,9,High School,High,No,4.75,5.8
Joseph Lewis,Female,4/18/2004,University of Ruhuna,3rd,3.28,Visual,23.63,7,High School,Low,Yes,4.64,4.43
David Ruiz,Male,1/20/1928,University of Ruhuna,3rd,3.99,Auditory,12.53,7,High School,Low,Yes,2.32,4.44
Sara Roberts,Female,3/3/2012,University of Colombo,4th,2.17,Kinesthetic,26.68,5,Bachelor's,High,No,0.61,8.39
Nathan Beck,Male,1/24/1942,University of Moratuwa,3rd,3.56,Kinesthetic,20.35,2,Master's,Medium,Yes,1.67,9.08
Sherry Davis,Female,7/26/1938,University of Moratuwa,4th,3.46,Visual,20.44,2,Other,Medium,Yes,2.66,9.17
Jon Salazar,Male,2/8/1908,University of Ruhuna,1st,2.38,Auditory,6.4,6,High School,Medium,No,1.42,8.4
Crystal Taylor,Female,3/12/1926,University of Colombo,2nd,3.07,Kinesthetic,9.58,2,Ph.D.,High,Yes,4.78,7.84
Cynthia Smith,Male,3/18/1948,Rajarata University,1st,3.78,Kinesthetic,10.74,7,Ph.D.,Medium,Yes,3.81,7.22
Joseph Schultz,Male,12/16/1934,Rajarata University,3rd,2.12,Auditory,9.82,5,High School,High,No,3.84,7.92
Brianna Romero,Male,4/17/2009,Sabaragamuwa University,4th,3.07,Visual,23.3,5,High School,High,Yes,2.54,6.49
Nathaniel Ward,Female,6/3/1913,Eastern University,4th,2.02,Visual,23.03,7,Other,High,No,1.52,6.68
Cheryl Vang,Female,7/14/1959,University of Jaffna,3rd,3.37,Auditory,16.91,6,High School,High,No,0.02,4.62
Jessica Swanson,Male,11/3/1951,University of Kelaniya,1st,2.56,Visual,5.34,10,Bachelor's,High,No,0.56,7.54
Andrew Alexander,Female,3/15/2008,University of Colombo,2nd,4,Auditory,24.34,3,High School,Medium,No,4.14,8.38
Matthew Rose,Female,10/20/2004,Rajarata University,2nd,3.14,Kinesthetic,25.34,4,Master's,Medium,Yes,1.78,9.02
Katherine Moore,Male,7/11/1945,University of Jaffna,3rd,2.46,Visual,26.27,10,Master's,Low,No,0.71,7.93
Kenneth Baker,Male,7/25/1986,University of Jaffna,3rd,3.91,Visual,27.34,7,Other,Medium,No,0.84,9.24
Todd Taylor,Male,2/28/1961,University of Jaffna,3rd,2.72,Kinesthetic,18.77,6,Bachelor's,Medium,No,0.1,8.89
Kimberly Giles,Female,11/24/1936,University of Ruhuna,2nd,2.73,Kinesthetic,13.9,10,Other,Medium,No,4.47,9.75
Elizabeth Harrison,Male,9/11/1988,Sabaragamuwa University,1st,2.88,Visual,15.54,8,Ph.D.,Low,Yes,2.12,7.87
Jacob Mcintosh,Male,11/9/1961,Eastern University,4th,3.17,Visual,27.97,9,Other,Low,No,2.06,9.53
David Williams,Female,7/29/1988,University of Colombo,3rd,2.35,Kinesthetic,14.43,3,Master's,Medium,No,2.61,8.04
Melinda Lawrence,Male,6/30/1993,Sabaragamuwa University,3rd,4,Visual,26.03,7,Other,Medium,Yes,3.51,8.08
David Willis,Female,1/30/1973,University of Peradeniya,4th,3.52,Visual,26.09,10,Ph.D.,Low,No,0.51,4.71
Rebecca Martin,Male,7/22/1938,Sabaragamuwa University,3rd,2.08,Visual,29.64,1,Bachelor's,High,No,2.66,5.99
Meghan Perkins,Male,10/22/1923,University of Peradeniya,3rd,3.42,Visual,28.39,1,Other,High,No,3.8,9.64
Kelly Blevins,Female,2/9/1909,Eastern University,1st,3.06,Visual,21.74,9,Master's,Medium,No,1.91,7.02
Lori Smith,Female,12/21/1956,University of Colombo,2nd,3.32,Visual,18.19,1,Master's,Medium,No,1.77,9.04
Kyle Wang,Female,7/9/1984,University of Ruhuna,2nd,3.6,Visual,13.26,1,Bachelor's,Low,No,1.22,4.04
Mark Moore,Female,10/15/2003,University of Jaffna,1st,2.6,Auditory,18.82,5,Master's,Low,Yes,1,7.9
Samantha Oliver,Female,12/9/1940,University of Colombo,4th,3.36,Auditory,7.51,8,Master's,High,Yes,1.14,4.55
Douglas Adams,Male,10/23/1915,University of Ruhuna,4th,3.44,Visual,14.28,1,Ph.D.,High,Yes,0.61,7.79
Richard Lane,Female,10/5/1963,University of Colombo,1st,2.24,Auditory,16.26,4,Other,Low,No,4.03,7.88
Michelle Thomas DVM,Female,2/26/1947,University of Ruhuna,3rd,2.08,Kinesthetic,7.12,3,High School,High,No,4.11,4.61
Gary Walsh,Male,9/6/1946,University of Colombo,4th,2.77,Auditory,29.54,3,Other,High,No,4.14,8.21
Alex Phillips,Male,5/18/1913,Sabaragamuwa University,3rd,2.2,Auditory,16.06,7,Ph.D.,Low,Yes,2.19,7.87
Ricardo Watkins,Male,3/15/1968,Sabaragamuwa University,1st,3.02,Visual,16.28,1,Ph.D.,High,Yes,0.13,4.08
Shane Lewis,Female,3/10/1959,Sabaragamuwa University,2nd,2.64,Visual,16.81,1,Bachelor's,Low,Yes,0.97,9.62
Shaun Hubbard,Female,12/14/1989,University of Jaffna,4th,3.62,Kinesthetic,29.92,9,Bachelor's,Medium,No,0.2,4.42
Joseph Krause,Male,7/28/1986,University of Kelaniya,1st,2.11,Visual,15.84,9,High School,Low,No,2.22,5.86
Michelle Rios,Female,4/11/1952,University of Moratuwa,1st,2.24,Auditory,8.29,9,High School,High,Yes,0.95,7.67
Tammy Evans MD,Female,11/2/1912,University of Peradeniya,1st,2.38,Kinesthetic,27.77,5,Bachelor's,High,Yes,1.84,4.37
Cynthia Holland,Female,8/5/2020,Sabaragamuwa University,2nd,2.51,Visual,6.78,4,Ph.D.,Medium,Yes,1.18,4.67
Elizabeth Richardson,Male,6/8/1931,University of Kelaniya,4th,3.62,Visual,26.27,10,Bachelor's,Low,No,2.05,8.32
James Schneider,Male,8/15/1993,University of Peradeniya,4th,3.76,Auditory,22.74,2,Ph.D.,High,Yes,0.4,9.37
Ricardo Mitchell,Male,1/6/1973,University of Colombo,1st,2.55,Visual,7.59,4,Bachelor's,High,No,4.52,8.46
Jessica Carr,Female,5/22/1911,Eastern University,1st,2.2,Visual,5.84,5,Ph.D.,Low,Yes,0.45,5.95
Kelly Martin,Male,12/10/1992,University of Ruhuna,1st,3.68,Kinesthetic,9.31,10,Master's,High,Yes,2.4,8.32
Brian Cruz,Female,9/11/2020,University of Kelaniya,1st,3.94,Kinesthetic,24.03,8,Ph.D.,High,Yes,3.81,6.85
John Ruiz,Male,4/4/1925,Rajarata University,2nd,2.25,Auditory,11.25,4,High School,Medium,No,2.4,5.35
Brandi Jimenez,Female,11/15/1990,University of Kelaniya,4th,2.27,Visual,16.82,2,Other,High,Yes,4.16,8.63
Carolyn Smith,Male,4/2/1974,Sabaragamuwa University,1st,2.34,Visual,28.03,1,High School,High,Yes,2.68,7.12
Michael Valencia,Female,8/11/1970,Sabaragamuwa University,1st,2.23,Auditory,23.35,6,Master's,High,No,0.07,6.46
Andre Collins,Female,3/7/1958,University of Kelaniya,1st,3.34,Visual,10.85,4,High School,Medium,Yes,2.29,6.83
Tami Rivera,Female,9/17/1959,University of Ruhuna,1st,3.74,Kinesthetic,14.76,9,Other,Low,No,0.7,6.9
Bethany Davidson,Male,11/4/1927,University of Peradeniya,3rd,3.49,Kinesthetic,8.6,9,High School,Low,Yes,3.07,5.13
Philip Barr,Female,9/25/1949,University of Colombo,4th,3.15,Kinesthetic,17.52,9,Ph.D.,Medium,Yes,4.23,4.29
Michael Gomez,Male,3/31/1986,Rajarata University,1st,2.12,Auditory,13.05,10,Ph.D.,Low,No,0.99,6.5
Jennifer Silva,Female,5/22/2006,University of Colombo,3rd,2.05,Kinesthetic,25.74,4,Other,Medium,Yes,0.82,6.03
Ms. Jodi Davis,Male,4/14/1993,University of Jaffna,3rd,2.49,Kinesthetic,16.67,2,Bachelor's,Low,Yes,1.82,5.84
Kelly Haynes,Male,7/15/1980,University of Ruhuna,3rd,2.39,Kinesthetic,5.53,3,Bachelor's,Low,No,0.77,6.17
Cynthia Walsh,Female,6/17/1934,Sabaragamuwa University,3rd,3.48,Visual,23.03,10,Ph.D.,Low,Yes,4.77,5.17
Anthony Randall,Male,7/11/1908,University of Jaffna,3rd,3.44,Auditory,28.28,1,Other,Low,Yes,2.65,8.1
Elizabeth Rose,Female,6/15/2007,University of Colombo,2nd,3.51,Visual,21.3,5,Bachelor's,Medium,Yes,4.94,9
